benchmark,relative_path,extension,size_bytes,record_count,parse_status,keys
RWKU,Target/199_Courtney_Love/forget_level1.json,.json,3365,15,ok,answer|level|query|subject|type
RWKU,Target/199_Courtney_Love/passage.json,.json,64369,48,ok,subject|text
RWKU,Target/199_Courtney_Love/retain_mmlu.json,.json,678928,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/199_Courtney_Love/fluency.json,.json,11255,50,ok,instruction|subject
RWKU,Target/199_Courtney_Love/intro.json,.json,177,1,ok,intro|target
RWKU,Target/199_Courtney_Love/neighbor_level2.json,.json,7655,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/199_Courtney_Love/forget_level3.json,.json,10703,38,ok,answer|level|query|subject|type
RWKU,Target/199_Courtney_Love/forget_mia.json,.json,39397,26,ok,ngram|subject|text
RWKU,Target/199_Courtney_Love/negative_phi.json,.json,1260020,582,ok,id|intro|subject|text
RWKU,Target/199_Courtney_Love/retain_mia.json,.json,28086,34,ok,ngram|subject|text
RWKU,Target/199_Courtney_Love/reject.json,.json,130025,300,ok,input|instruction|intro|output|subject
RWKU,Target/199_Courtney_Love/pair_phi.json,.json,2502405,582,ok,id|intro|prompt|response|subject
RWKU,Target/199_Courtney_Love/reject_phi.json,.json,132500,300,ok,input|instruction|intro|output|subject
RWKU,Target/199_Courtney_Love/triviaqa.json,.json,60077,100,ok,answers|question|subject
RWKU,Target/199_Courtney_Love/negative.json,.json,1082494,582,ok,id|intro|subject|text
RWKU,Target/199_Courtney_Love/positive.json,.json,1107833,582,ok,id|intro|subject|text
RWKU,Target/199_Courtney_Love/truthful.json,.json,69610,50,ok,mc1_targets|mc2_targets|question|subject
RWKU,Target/199_Courtney_Love/pair.json,.json,2185197,582,ok,id|intro|prompt|response|subject
RWKU,Target/199_Courtney_Love/neighbor_level1.json,.json,8163,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/14_Taylor_Swift/forget_level2.json,.json,2010,9,ok,answer|level|query|subject|type
RWKU,Target/14_Taylor_Swift/positive_phi.json,.json,1280641,582,ok,id|intro|subject|text
RWKU,Target/14_Taylor_Swift/retain_bbh.json,.json,271669,81,ok,answer|cot|question|subject|task
RWKU,Target/14_Taylor_Swift/forget_level1.json,.json,4272,20,ok,answer|level|query|subject|type
RWKU,Target/14_Taylor_Swift/passage.json,.json,68085,90,ok,subject|text
RWKU,Target/14_Taylor_Swift/retain_mmlu.json,.json,678951,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/14_Taylor_Swift/fluency.json,.json,12431,50,ok,instruction|subject
RWKU,Target/14_Taylor_Swift/intro.json,.json,164,1,ok,intro|target
RWKU,Target/14_Taylor_Swift/neighbor_level2.json,.json,5022,19,ok,answer|level|neighbor|query|subject|type
RWKU,Target/14_Taylor_Swift/forget_level3.json,.json,10467,39,ok,answer|level|query|subject|type
RWKU,Target/14_Taylor_Swift/forget_mia.json,.json,54107,60,ok,ngram|subject|text
RWKU,Target/14_Taylor_Swift/negative_phi.json,.json,1292412,582,ok,id|intro|subject|text
RWKU,Target/14_Taylor_Swift/retain_mia.json,.json,40767,45,ok,ngram|subject|text
RWKU,Target/14_Taylor_Swift/reject.json,.json,139448,300,ok,input|instruction|intro|output|subject
RWKU,Target/14_Taylor_Swift/pair_phi.json,.json,2568505,582,ok,id|intro|prompt|response|subject
RWKU,Target/14_Taylor_Swift/reject_phi.json,.json,149081,300,ok,input|instruction|intro|output|subject
RWKU,Target/14_Taylor_Swift/triviaqa.json,.json,57289,100,ok,answers|question|subject
RWKU,Target/14_Taylor_Swift/negative.json,.json,1150110,582,ok,id|intro|subject|text
RWKU,Target/14_Taylor_Swift/positive.json,.json,1255219,582,ok,id|intro|subject|text
RWKU,Target/14_Taylor_Swift/truthful.json,.json,67420,50,ok,mc1_targets|mc2_targets|question|subject
RWKU,Target/14_Taylor_Swift/pair.json,.json,2400781,582,ok,id|intro|prompt|response|subject
RWKU,Target/14_Taylor_Swift/neighbor_level1.json,.json,6461,23,ok,answer|level|neighbor|query|subject|type
RWKU,Target/33_Paul_Walker/forget_level2.json,.json,4158,18,ok,answer|level|query|subject|type
RWKU,Target/33_Paul_Walker/positive_phi.json,.json,1229663,582,ok,id|intro|subject|text
RWKU,Target/33_Paul_Walker/retain_bbh.json,.json,272626,81,ok,answer|cot|question|subject|task
RWKU,Target/33_Paul_Walker/forget_level1.json,.json,4177,19,ok,answer|level|query|subject|type
RWKU,Target/33_Paul_Walker/passage.json,.json,14209,19,ok,subject|text
RWKU,Target/33_Paul_Walker/retain_mmlu.json,.json,673237,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/33_Paul_Walker/fluency.json,.json,9704,50,ok,instruction|subject
RWKU,Target/33_Paul_Walker/intro.json,.json,161,1,ok,intro|target
RWKU,Target/33_Paul_Walker/neighbor_level2.json,.json,7427,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/33_Paul_Walker/forget_level3.json,.json,8934,32,ok,answer|level|query|subject|type
RWKU,Target/33_Paul_Walker/forget_mia.json,.json,13697,16,ok,ngram|subject|text
RWKU,Target/33_Paul_Walker/negative_phi.json,.json,1245142,582,ok,id|intro|subject|text
RWKU,Target/33_Paul_Walker/retain_mia.json,.json,35565,45,ok,ngram|subject|text
RWKU,Target/33_Paul_Walker/reject.json,.json,115571,300,ok,input|instruction|intro|output|subject
RWKU,Target/33_Paul_Walker/pair_phi.json,.json,2470839,582,ok,id|intro|prompt|response|subject
RWKU,Target/33_Paul_Walker/reject_phi.json,.json,132136,300,ok,input|instruction|intro|output|subject
RWKU,Target/33_Paul_Walker/triviaqa.json,.json,61093,100,ok,answers|question|subject
RWKU,Target/33_Paul_Walker/negative.json,.json,946086,582,ok,id|intro|subject|text
RWKU,Target/33_Paul_Walker/positive.json,.json,876311,582,ok,id|intro|subject|text
RWKU,Target/33_Paul_Walker/truthful.json,.json,71708,50,ok,mc1_targets|mc2_targets|question|subject
RWKU,Target/33_Paul_Walker/pair.json,.json,1818431,582,ok,id|intro|prompt|response|subject
RWKU,Target/33_Paul_Walker/neighbor_level1.json,.json,7323,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/109_Ulysses_S._Grant/forget_level2.json,.json,2231,10,ok,answer|level|query|subject|type
RWKU,Target/109_Ulysses_S._Grant/positive_phi.json,.json,1314992,582,ok,id|intro|subject|text
RWKU,Target/109_Ulysses_S._Grant/retain_bbh.json,.json,274300,81,ok,answer|cot|question|subject|task
RWKU,Target/109_Ulysses_S._Grant/forget_level1.json,.json,4299,20,ok,answer|level|query|subject|type
RWKU,Target/109_Ulysses_S._Grant/passage.json,.json,125850,189,ok,subject|text
RWKU,Target/109_Ulysses_S._Grant/retain_mmlu.json,.json,682978,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/109_Ulysses_S._Grant/fluency.json,.json,11626,50,ok,instruction|subject
RWKU,Target/109_Ulysses_S._Grant/intro.json,.json,176,1,ok,intro|target
RWKU,Target/109_Ulysses_S._Grant/neighbor_level2.json,.json,8742,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/109_Ulysses_S._Grant/forget_level3.json,.json,9997,33,ok,answer|level|query|subject|type
RWKU,Target/109_Ulysses_S._Grant/forget_mia.json,.json,46000,58,ok,ngram|subject|text
RWKU,Target/109_Ulysses_S._Grant/negative_phi.json,.json,1314209,582,ok,id|intro|subject|text
RWKU,Target/109_Ulysses_S._Grant/retain_mia.json,.json,34506,37,ok,ngram|subject|text
RWKU,Target/109_Ulysses_S._Grant/reject.json,.json,131590,300,ok,input|instruction|intro|output|subject
RWKU,Target/109_Ulysses_S._Grant/pair_phi.json,.json,2622325,582,ok,id|intro|prompt|response|subject
RWKU,Target/109_Ulysses_S._Grant/reject_phi.json,.json,130825,300,ok,input|instruction|intro|output|subject
RWKU,Target/109_Ulysses_S._Grant/triviaqa.json,.json,64407,100,ok,answers|question|subject
RWKU,Target/109_Ulysses_S._Grant/negative.json,.json,1032336,582,ok,id|intro|subject|text
RWKU,Target/109_Ulysses_S._Grant/positive.json,.json,1116773,582,ok,id|intro|subject|text
RWKU,Target/109_Ulysses_S._Grant/truthful.json,.json,74420,50,ok,mc1_targets|mc2_targets|question|subject
RWKU,Target/109_Ulysses_S._Grant/pair.json,.json,2142233,582,ok,id|intro|prompt|response|subject
RWKU,Target/109_Ulysses_S._Grant/neighbor_level1.json,.json,8852,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/153_Sofía_Vergara/forget_level2.json,.json,3160,13,ok,answer|level|query|subject|type
RWKU,Target/153_Sofía_Vergara/positive_phi.json,.json,1302591,582,ok,id|intro|subject|text
RWKU,Target/153_Sofía_Vergara/retain_bbh.json,.json,273730,81,ok,answer|cot|question|subject|task
RWKU,Target/153_Sofía_Vergara/forget_level1.json,.json,3911,17,ok,answer|level|query|subject|type
RWKU,Target/153_Sofía_Vergara/passage.json,.json,10835,13,ok,subject|text
RWKU,Target/153_Sofía_Vergara/retain_mmlu.json,.json,677213,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/153_Sofía_Vergara/fluency.json,.json,12362,50,ok,instruction|subject
RWKU,Target/153_Sofía_Vergara/intro.json,.json,222,1,ok,intro|target
RWKU,Target/153_Sofía_Vergara/neighbor_level2.json,.json,7583,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/153_Sofía_Vergara/forget_level3.json,.json,6604,23,ok,answer|level|query|subject|type
RWKU,Target/153_Sofía_Vergara/forget_mia.json,.json,8306,7,ok,ngram|subject|text
RWKU,Target/153_Sofía_Vergara/negative_phi.json,.json,1322312,582,ok,id|intro|subject|text
RWKU,Target/153_Sofía_Vergara/retain_mia.json,.json,31110,37,ok,ngram|subject|text
RWKU,Target/153_Sofía_Vergara/reject.json,.json,146184,300,ok,input|instruction|intro|output|subject
RWKU,Target/153_Sofía_Vergara/pair_phi.json,.json,2616863,582,ok,id|intro|prompt|response|subject
RWKU,Target/153_Sofía_Vergara/reject_phi.json,.json,149051,300,ok,input|instruction|intro|output|subject
RWKU,Target/153_Sofía_Vergara/triviaqa.json,.json,64484,100,ok,answers|question|subject
RWKU,Target/153_Sofía_Vergara/negative.json,.json,1116994,582,ok,id|intro|subject|text
RWKU,Target/153_Sofía_Vergara/positive.json,.json,1076595,582,ok,id|intro|subject|text
RWKU,Target/153_Sofía_Vergara/truthful.json,.json,62704,50,ok,mc1_targets|mc2_targets|question|subject
RWKU,Target/153_Sofía_Vergara/pair.json,.json,2185549,582,ok,id|intro|prompt|response|subject
RWKU,Target/153_Sofía_Vergara/neighbor_level1.json,.json,8497,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/98_Dwayne_Johnson/forget_level2.json,.json,4062,18,ok,answer|level|query|subject|type
RWKU,Target/98_Dwayne_Johnson/positive_phi.json,.json,1305999,582,ok,id|intro|subject|text
RWKU,Target/98_Dwayne_Johnson/retain_bbh.json,.json,273281,81,ok,answer|cot|question|subject|task
RWKU,Target/98_Dwayne_Johnson/forget_level1.json,.json,3941,18,ok,answer|level|query|subject|type
RWKU,Target/98_Dwayne_Johnson/passage.json,.json,76327,129,ok,subject|text
RWKU,Target/98_Dwayne_Johnson/retain_mmlu.json,.json,680031,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/98_Dwayne_Johnson/fluency.json,.json,12485,50,ok,instruction|subject
RWKU,Target/98_Dwayne_Johnson/intro.json,.json,191,1,ok,intro|target
RWKU,Target/98_Dwayne_Johnson/neighbor_level2.json,.json,3887,15,ok,answer|level|neighbor|query|subject|type
RWKU,Target/98_Dwayne_Johnson/forget_level3.json,.json,10080,36,ok,answer|level|query|subject|type
