parameter_method,model_id,benchmark,topology,intervention,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system
gradient_ascent,qwen3_4b,RWKU,scratchpad,parameter_plus_comm,0.8,1.0,1.0,0.8,1.0,1.0
gradient_ascent,qwen3_4b,RWKU,sequential,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_4b,RWKU,sequential,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_4b,TOFU,debate,parameter_only,1.0,1.0,1.0,1.0,1.0,0.8666666666666667
gradient_ascent,qwen3_4b,TOFU,debate,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,0.8666666666666667
gradient_ascent,qwen3_4b,TOFU,hierarchical,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_4b,TOFU,hierarchical,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_4b,TOFU,independent,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_4b,TOFU,independent,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_4b,TOFU,scratchpad,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_4b,TOFU,scratchpad,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_4b,TOFU,sequential,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_4b,TOFU,sequential,parameter_plus_comm,0.7999999999999999,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,MUSE-News,debate,parameter_only,1.0,,0.2,1.0,,0.2
gradient_ascent,qwen3_8b,MUSE-News,debate,parameter_plus_comm,1.0,,0.2,1.0,,0.2
gradient_ascent,qwen3_8b,MUSE-News,hierarchical,parameter_only,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_8b,MUSE-News,hierarchical,parameter_plus_comm,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_8b,MUSE-News,independent,parameter_only,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_8b,MUSE-News,independent,parameter_plus_comm,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_8b,MUSE-News,scratchpad,parameter_only,1.0,,0.4,1.0,,1.0
gradient_ascent,qwen3_8b,MUSE-News,scratchpad,parameter_plus_comm,1.0,,0.4,1.0,,1.0
gradient_ascent,qwen3_8b,MUSE-News,sequential,parameter_only,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_8b,MUSE-News,sequential,parameter_plus_comm,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_8b,RWKU,debate,parameter_only,0.8,1.0,0.6,0.8,1.0,0.6
gradient_ascent,qwen3_8b,RWKU,debate,parameter_plus_comm,0.8,1.0,0.6,0.8,1.0,0.6
gradient_ascent,qwen3_8b,RWKU,hierarchical,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,RWKU,hierarchical,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,RWKU,independent,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,RWKU,independent,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,RWKU,scratchpad,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,RWKU,scratchpad,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,RWKU,sequential,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,RWKU,sequential,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,TOFU,debate,parameter_only,1.0,1.0,1.0,1.0,0.9333333333333332,1.0
gradient_ascent,qwen3_8b,TOFU,debate,parameter_plus_comm,1.0,1.0,1.0,1.0,0.9333333333333332,1.0
gradient_ascent,qwen3_8b,TOFU,hierarchical,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,TOFU,hierarchical,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,TOFU,independent,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,TOFU,independent,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,TOFU,scratchpad,parameter_only,1.0,0.9333333333333332,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,TOFU,scratchpad,parameter_plus_comm,1.0,1.0,1.0,1.0,0.9333333333333332,1.0
gradient_ascent,qwen3_8b,TOFU,sequential,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
gradient_ascent,qwen3_8b,TOFU,sequential,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,MUSE-News,debate,parameter_only,0.8,,0.8,1.0,,0.6
lora_grad_diff,qwen3_4b,MUSE-News,debate,parameter_plus_comm,1.0,,0.8,1.0,,0.6
lora_grad_diff,qwen3_4b,MUSE-News,hierarchical,parameter_only,1.0,,0.4,1.0,,1.0
lora_grad_diff,qwen3_4b,MUSE-News,hierarchical,parameter_plus_comm,1.0,,0.4,1.0,,1.0
lora_grad_diff,qwen3_4b,MUSE-News,independent,parameter_only,1.0,,0.4,1.0,,1.0
lora_grad_diff,qwen3_4b,MUSE-News,independent,parameter_plus_comm,1.0,,0.4,1.0,,1.0
lora_grad_diff,qwen3_4b,MUSE-News,scratchpad,parameter_only,1.0,,0.4,1.0,,1.0
lora_grad_diff,qwen3_4b,MUSE-News,scratchpad,parameter_plus_comm,1.0,,0.4,1.0,,1.0
lora_grad_diff,qwen3_4b,MUSE-News,sequential,parameter_only,1.0,,0.4,1.0,,1.0
lora_grad_diff,qwen3_4b,MUSE-News,sequential,parameter_plus_comm,1.0,,0.4,1.0,,1.0
lora_grad_diff,qwen3_4b,RWKU,debate,parameter_only,1.0,1.0,0.8,0.4,0.2,0.6
lora_grad_diff,qwen3_4b,RWKU,debate,parameter_plus_comm,1.0,1.0,0.8,0.4,0.2,0.6
lora_grad_diff,qwen3_4b,RWKU,hierarchical,parameter_only,1.0,1.0,1.0,0.6,0.8,1.0
lora_grad_diff,qwen3_4b,RWKU,hierarchical,parameter_plus_comm,1.0,1.0,1.0,0.6,0.8,1.0
lora_grad_diff,qwen3_4b,RWKU,independent,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,RWKU,independent,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,RWKU,scratchpad,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,RWKU,scratchpad,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,RWKU,sequential,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,RWKU,sequential,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,debate,parameter_only,1.0,1.0,1.0,1.0,1.0,0.9333333333333332
lora_grad_diff,qwen3_4b,TOFU,debate,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,0.9333333333333332
lora_grad_diff,qwen3_4b,TOFU,hierarchical,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,hierarchical,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,independent,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,independent,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,scratchpad,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,scratchpad,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,sequential,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_4b,TOFU,sequential,parameter_plus_comm,0.7999999999999999,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,MUSE-News,debate,parameter_only,1.0,,0.6,1.0,,0.4
lora_grad_diff,qwen3_8b,MUSE-News,debate,parameter_plus_comm,1.0,,0.6,1.0,,0.4
lora_grad_diff,qwen3_8b,MUSE-News,hierarchical,parameter_only,1.0,,0.0,1.0,,1.0
lora_grad_diff,qwen3_8b,MUSE-News,hierarchical,parameter_plus_comm,1.0,,0.0,1.0,,1.0
lora_grad_diff,qwen3_8b,MUSE-News,independent,parameter_only,1.0,,0.0,1.0,,1.0
lora_grad_diff,qwen3_8b,MUSE-News,independent,parameter_plus_comm,1.0,,0.0,1.0,,1.0
lora_grad_diff,qwen3_8b,MUSE-News,scratchpad,parameter_only,1.0,,0.4,1.0,,1.0
lora_grad_diff,qwen3_8b,MUSE-News,scratchpad,parameter_plus_comm,1.0,,0.4,1.0,,1.0
lora_grad_diff,qwen3_8b,MUSE-News,sequential,parameter_only,1.0,,0.0,1.0,,1.0
lora_grad_diff,qwen3_8b,MUSE-News,sequential,parameter_plus_comm,1.0,,0.0,1.0,,1.0
lora_grad_diff,qwen3_8b,RWKU,debate,parameter_only,0.4,0.8,0.6,0.8,0.6,1.0
lora_grad_diff,qwen3_8b,RWKU,debate,parameter_plus_comm,0.4,0.8,0.6,0.8,0.6,1.0
lora_grad_diff,qwen3_8b,RWKU,hierarchical,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,RWKU,hierarchical,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,RWKU,independent,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,RWKU,independent,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,RWKU,scratchpad,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,RWKU,scratchpad,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,RWKU,sequential,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,RWKU,sequential,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,TOFU,debate,parameter_only,1.0,1.0,1.0,1.0,0.9333333333333332,1.0
lora_grad_diff,qwen3_8b,TOFU,debate,parameter_plus_comm,1.0,0.9333333333333332,1.0,1.0,0.9333333333333332,1.0
lora_grad_diff,qwen3_8b,TOFU,hierarchical,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,TOFU,hierarchical,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,TOFU,independent,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,TOFU,independent,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,TOFU,scratchpad,parameter_only,1.0,0.9333333333333332,1.0,1.0,0.9333333333333332,1.0
lora_grad_diff,qwen3_8b,TOFU,scratchpad,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,TOFU,sequential,parameter_only,1.0,1.0,1.0,1.0,1.0,1.0
lora_grad_diff,qwen3_8b,TOFU,sequential,parameter_plus_comm,1.0,1.0,1.0,1.0,1.0,1.0
